"order_id,customer_id,order_date,city,order_amount,items_count"
"1001,C001,2024-01-05,Delhi,2500,2"
"1002,C002,2024-01-07,Mumbai,1800,1"
"1003,C003,2024-01-10,Bangalore,3200,3"
"1004,C001,2024-01-18,Delhi,2100,2"
"1005,C004,2023-10-12,Pune,900,1"
"1006,C005,2024-02-02,Chennai,1500,1"
"1007,C002,2024-02-10,Mumbai,2700,2"
"1008,C006,2023-09-15,Delhi,1100,1"
"1009,C007,2024-01-25,Bangalore,4200,4"
"1010,C003,2024-02-20,Bangalore,3100,2"
"1011,C008,2023-08-05,Pune,700,1"
"1012,C009,2024-03-01,Mumbai,3600,3"
"1013,C010,2024-02-28,Delhi,2900,2"
"1014,C004,2023-07-22,Pune,1200,1"
"1015,C005,2024-03-05,Chennai,2100,2"
"1016,C001,2024-03-08,Delhi,3300,3"
"1017,C011,2023-06-30,Mumbai,800,1"
"1018,C012,2024-01-30,Bangalore,2600,2"
"1019,C007,2024-02-18,Bangalore,3800,3"
"1020,C013,2023-05-14,Delhi,950,1"
